industry,type,category,description,subcategories
"Telecommunications","hazard","Core Network / Availability Disruption ('OT-equivalent' risk)","Telecom's version of OT/ICS risk - attacks that threaten service availability at national or regional scale rather than just confidentiality.","Voice/SMS/data network outages from ransomware or intrusion (Cellcom's week-long voice/SMS blackout) | BGP hijacking / routing manipulation causing internet outages (Orange Spain) | Sabotage-style attacks without malware causing multi-day national outages (Vodafone Portugal, 4.7M mobile + 1M fixed customers affected) | Customer-portal and OSS/BSS downtime cascading into business-customer disruption (Colt's multi-month portal outage) | Emergency-services (911/E911) disruption risk given telecom's critical-infrastructure designation"
"Telecommunications","hazard","Third-Party & Supply Chain Risk","Telecom's dense web of vendors, resellers, field-service contractors, and shared industry infrastructure creates outsized supply-chain blast radius (DBIR: third-party factor rose to 30% of breaches).","Compromise via subcontracted field-service/technical-solutions providers | Compromise of shared backend SaaS platforms used across the operator's business (AppianCloud/Symphonica-style) | MVNO/reseller relationship exposure | Industry-body/association compromise with cross-member blast radius (GSMA/Qilin) | Downstream exposure of other carriers' data held incidentally (American Tower's records referencing T-Mobile/Verizon/DHS)"
"Telecommunications","hazard","Insider & Credential-Based Risk","Human-layer risk distinct from bulk phishing - individual employee/admin compromise with outsized consequences given telecom's centralized subscriber-identity role.","Single-employee infostealer infection cascading to full backend compromise (WOW!) | Reused/weak passwords on high-privilege admin or registry accounts (Orange Spain RIPE account) | SIM-swap-enabling data theft (USIM keys, IMSI) creating downstream account-takeover risk for subscribers (SK Telecom) | Insider-facilitated or insider-adjacent credential sale enabling initial access"
"Telecommunications","hazard","Regulatory & Legal Exposure","Telecom's status as a heavily regulated, often critical-infrastructure-designated sector amplifies post-incident financial and legal consequences beyond the ransom/attack itself.","Data-protection regulator fines (SK Telecom's $97.2M PIPC fine; Cosmote/OTE's combined ~$9.25M Greek DPA fines for a related breach) | Mandatory consumer compensation schemes (SK Telecom's per-subscriber payout order) | Breach-notification law gaps/delays in some jurisdictions (Trinidad and Tobago's lack of mandatory notification law) | Securities disclosure obligations for public telecom operators (WideOpenWest 8-K materiality determination) | Executive/leadership accountability actions (TSTT CEO's dismissal post-breach) | National security and critical-infrastructure regulatory scrutiny given telecom's designation in most jurisdictions"
"Telecommunications","exposure","Core Network & Signaling Systems","The 'OT-equivalent' layer for telecom - subscriber and routing infrastructure whose compromise or outage disrupts service for large customer populations rather than just exposing records.","Home Subscriber Server (HSS) / HLR subscriber databases (e.g., SK Telecom) | USIM/SIM authentication keys and IMSI/IMEI identifiers | BSS/OSS (billing and operations support systems) | BGP/RIPE routing account credentials and DNS infrastructure (Orange Spain-style hijack risk) | SS7/signaling systems | 5G core network functions and voice/SMS switching platforms (Cellcom-style voice-network compromise) | E911/emergency call routing systems"
"Telecommunications","exposure","Subscriber & Customer PII","The high-volume personal data telecom operators uniquely hold by virtue of serving as national-scale identity and communications intermediaries.","Names, addresses, dates of birth, national ID/passport/driver's license scans | Call Detail Records (CDRs) - who called whom, when, duration, cell-tower location metadata | Billing, payment card and bank account data | Login credentials, security questions, and account history (WOW!-style) | Device/handset data and device financing records"
"Telecommunications","exposure","Enterprise/Backend IT & SaaS Platforms","The corporate IT layer - often the actual initial-access and lateral-movement surface even when the attacker's goal is subscriber or infrastructure data.","CRM and customer-support/ticketing portals (Colt Online-style customer portals) | Third-party SaaS/backend platforms integrated into telecom operations (e.g., AppianCloud, Symphonica) | VPN/remote-access and SharePoint/collaboration infrastructure (CVE-2025-53770-style exploitation) | Employee HR, payroll and executive personal data | Internal source code, GitLab/CI-CD repositories and database dumps"
"Telecommunications","exposure","Physical & Field Infrastructure","Telecom's unusual exposure of physical assets and access controls alongside digital ones - a hazard largely absent in pure IT/software industries.","Cell tower compounds and physical access/gate codes (American Tower incident) | Colocation and data center facility access systems | Field service technician and subcontractor credentials/networks (Bell Technical Solutions-style) | Tower/asset GPS location data"
"Telecommunications","exposure","Third-Party, Partner & Downstream Data","Data and access that telecom operators hold on behalf of, or shared with, other organizations - amplifying blast radius beyond the operator's own customers.","MVNO (mobile virtual network operator) and reseller partner data | Interconnect/roaming carrier data and industry-association data (e.g., GSMA) | Data belonging to enterprise customers hosted, routed, or processed by the telecom (managed services, hosting, colocation) | References to other companies' infrastructure held incidentally (e.g., tower records referencing other carriers' equipment)"
"Telecommunications","exposure","Regulatory, Lawful-Intercept & Critical-Infrastructure Systems","Government-facing and critical-infrastructure-designated systems that create outsized regulatory and national-security exposure when compromised.","Lawful intercept and law-enforcement request-handling systems | Critical infrastructure/national security designated network segments | Breach-notification and regulatory reporting systems (subject to GDPR, PIPC, FCC, Ofcom, etc.)"
"Transportation and Warehousing","hazard","Initial Access Vectors","How ransomware actors most commonly gain a foothold in transportation/warehousing environments, shaped by the industry's mix of legacy OT, distributed fleet/warehouse sites, and often-thin IT security staffing relative to operational scale.","Weak/brute-forced credentials and absent MFA on remote-access or VPN accounts (e.g., KNP Logistics/Akira — single weak password, no MFA) | Exploited public-facing vulnerabilities in logistics/ERP software and edge devices | Phishing and stolen-credential campaigns targeting dispatch, billing, and operations staff | Compromise of a shared/upstream software vendor whose platform many carriers depend on (supply-chain trojan, e.g., NotPetya's spread via M.E.Doc) | Legacy or unpatched OT/ICS components in port terminal and warehouse-automation systems with long refresh cycles"
"Transportation and Warehousing","hazard","Extortion Tactics","The specific leverage mechanisms ransomware groups use against transportation/logistics targets, reflecting a broader industry shift toward data theft and multi-pronged pressure over pure encryption.","Traditional file/system encryption halting dispatch, billing, and tracking operations | Double extortion — data theft plus threatened leak (Nefilim/Toll Group, LockBit/Estes) | Extortion-only attacks with no encryption payload, relying purely on stolen shipment/customer/financial data (a rising share industry-wide per Sophos 2025) | Harassment of customers, partners, or drivers via leaked contact data to pressure payment | Wiper malware disguised as ransomware for disruption rather than profit (NotPetya/Maersk)"
"Transportation and Warehousing","hazard","OT vs IT Risk","Transportation/warehousing uniquely blends conventional IT (billing, CRM, EDI) with operational technology controlling physical movement of goods — an intrusion in either domain can halt the other.","Port/terminal operating systems and crane/gate automation as single points of failure (Nagoya Port) | Fleet telematics/ELD systems whose compromise removes real-time visibility and regulatory compliance capability (ORBCOMM) | Warehouse robotics, conveyor, and sortation-system control networks | IT/OT network convergence enabling lateral movement from a compromised office network into operational control systems | Safety and regulatory fallback processes (e.g., manual/paper logging) that partially mitigate but don't eliminate business impact during OT outages"
"Transportation and Warehousing","hazard","Third-Party / Supply-Chain Risk","Because logistics networks are inherently interconnected, an attack on one node (a carrier, a software vendor, a port) propagates operational and reputational damage across partners and customers.","Concentration risk in dominant ELD/telematics or TMS/WMS software vendors serving many carriers simultaneously | Cascading customer-service disruption when a shared customer portal or booking platform goes down | Cross-organizational data exposure when EDI/partner data feeds are compromised | Regulatory/compliance cascade — e.g., FMCSA having to issue nationwide ELD enforcement waivers after a single vendor's outage"
"Transportation and Warehousing","hazard","Insider & Workforce Risk","Distributed, high-turnover workforces (drivers, warehouse staff, seasonal labor) and thin security-awareness investment create human-factor exposure distinct from office-centric industries.","Credential reuse/weak passwords among widely distributed field and warehouse staff | High employee/contractor turnover complicating access-deprovisioning | Limited security-awareness training budgets relative to operational/safety training priorities | Malicious or coerced insiders with access to dispatch or customs-clearance systems"
"Transportation and Warehousing","hazard","Regulatory & Financial Exposure","Transportation's critical-infrastructure designation and highly interconnected, low-margin business model amplify the downstream consequences of an incident beyond the direct IT-remediation cost.","Critical-infrastructure sector status triggering mandatory incident reporting (e.g., CISA/TSA requirements in the US) | State/federal breach-notification laws when driver, employee, or customer PII is exposed (Estes Express Lines — 21,184 individuals, Maine AG filing) | Class-action litigation risk following notification delays or inadequate security practices | SEC disclosure obligations for material incidents at public logistics companies (Expeditors International 8-K/10-K) | Thin operating margins meaning even moderate incident costs or demurrage/detention penalties can threaten solvency (KNP Logistics collapse) | Sector-specific safety regulator waivers/interventions (FMCSA ELD enforcement relief after the ORBCOMM outage)"
"Transportation and Warehousing","exposure","Fleet, Freight & Operational Technology Systems","The operational core of transportation/warehousing firms — systems whose downtime directly halts the physical movement of goods, distinguishing this industry's ransomware exposure from purely data-centric sectors.","Electronic Logging Devices (ELD) and telematics/fleet-tracking platforms (e.g., ORBCOMM FleetManager, Samsara, Omnitracs) | Transportation Management Systems (TMS) and Warehouse Management Systems (WMS) | Port/terminal operating systems (TOS), crane and gate-automation control systems, and container-yard management platforms (e.g., Nagoya Port's NUTS) | Dispatch, routing, and load-planning software | Fuel management, weigh-station, and vehicle-maintenance scheduling systems | Warehouse automation, conveyor/sortation controllers, and robotics/IoT sensors on the OT side of distribution centers"
"Transportation and Warehousing","exposure","Customer, Shipment & Financial Data","Sensitive business and transactional data whose exposure drives breach-notification duties and extortion leverage even when operations aren't disrupted.","Bill of lading, manifest, and customs/trade-compliance data (HS codes, import/export declarations) | EDI (Electronic Data Interchange) transaction streams with shippers, carriers, and customs brokers | Freight billing, invoicing, and payment/AP-AR financial data | Customer shipment and pricing/contract data (competitively sensitive) | Employee, driver, and job-applicant PII (names, SSNs, driver's license/CDL numbers) — as seen in the Estes Express Lines breach"
"Transportation and Warehousing","exposure","Third-Party & Supply-Chain Dependencies","Transportation/warehousing firms rely heavily on shared vendor platforms and interconnected partner networks, concentrating risk in a small number of upstream providers.","ELD/telematics hardware and software vendors (single-vendor outages cascade across many downstream carriers, as in the ORBCOMM incident) | Freight-forwarding and customs-broker software platforms shared across multiple shipping lines | Cloud-hosted logistics SaaS (booking portals, customer self-service platforms like MyToll or JAS SmartHub) | Interconnected partner/customer networks (3PLs, drayage carriers, warehouse operators) that can propagate an intrusion or be disrupted by a partner's outage | Payment processors and financial clearinghouses for freight settlement"
"Transportation and Warehousing","exposure","Physical & Critical-Infrastructure Assets","Because transportation is designated critical infrastructure in most jurisdictions, exposure extends beyond data to physical assets and public safety/regulatory systems.","Ports, container terminals, and intermodal rail yards | Vehicle fleets rendered inoperable when dispatch/ELD/telematics systems are locked | Cold-chain and hazmat tracking systems where downtime creates spoilage or safety risk | Cross-border/customs clearance systems whose outage can halt trade flows nationally | Airport ground-handling and cargo-processing systems"
